"scientificName","genus","specificEpithet","infraspecificEpithet","ID","occurrenceID","basisOfRecord","eventDate","year","month","day","institutionCode","recordedBy","country","county","stateProvince","locality","latitude","longitude","coordinateUncertaintyInMeters","informationWithheld","habitat","aggregator","accepted_name"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"3955926039","q-10024453068","HUMAN_OBSERVATION","2018-04-05T20:42:11",2018,4,5,NA,NA,"United States of America",NA,NA,"locality:  NA, occurrenceRemarks: NA, verbatimLocality: NA",35.49,-82.6,NA,NA,NA,"GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"2234463056","aed5ce05-9ec8-4782-ad56-a7dba651a604","PRESERVED_SPECIMEN","1987-03-23T00:00:00",1987,3,23,"NCU","Ward, James L.; Andrews, J.; Baker, M. J.; Jahncke, S.","United States of America","Orange","North Carolina","locality:  Mountain habitat. N.C. Botanical Garden, occurrenceRemarks: NA, verbatimLocality: NA",35.9,-79.03,54,NA,NA,"GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"2234339181","237bd921-5381-4d9d-be4c-f32c7890b0d6","PRESERVED_SPECIMEN","1976-06-29T00:00:00",1976,6,29,"NCU","Michener, D. C.","United States of America","Transylvania","North Carolina","locality:  at the confluence of Bearwallow Creek and the Toxaway River, occurrenceRemarks: NA, verbatimLocality: NA",35.08,-82.9,210,NA,"shaded wet rock outcrops in laurel thicket/hemlock woods; common here","GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"2234463487","256b3a1c-67b6-4bcf-bf19-08ec87d6218d","PRESERVED_SPECIMEN","1970-03-18T00:00:00",1970,3,18,"NCU","Ellis, E. Ann","United States of America","Orange","North Carolina","locality:  near Botany Pond, occurrenceRemarks: NA, verbatimLocality: NA",35.89,-79.02,128,NA,"Stream bank covered with bryophytes","GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"2234464118","ccf125cc-5b7b-4fe6-96a2-4bf1ea1f8eb2","PRESERVED_SPECIMEN","1928-03-26T00:00:00",1928,3,26,"NCU","Raper, Kenneth Bryan","United States of America","Orange","North Carolina","locality:  PLANTS OF CHAPEL HILL, N.C. [North Carolina] by branch, south of ""Tin Can"" gymnasium, occurrenceRemarks: NA, verbatimLocality: NA",35.91,-79.05,2206,NA,"Deep woods","GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"3749715480","https://pi.jacq.org/PI055888","PRESERVED_SPECIMEN","1897-04-07T00:00:00",1897,4,7,"PI","Biltmore Herbarium","United States of America",NA,NA,"locality:  White Water Valley, Oconee County, South Carolina, occurrenceRemarks: NA, verbatimLocality: NA",35.02,-83.02,NA,NA,NA,"GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"2251707448","bd0d9adb-b276-456c-847a-1dcb1587839e","PRESERVED_SPECIMEN","1879-04-01T00:00:00",1879,4,1,"NY","M. E. Hyams","United States of America","McDowell Co.","North Carolina","locality:  NA, occurrenceRemarks: While the label says this was collected by M.E. Hyams, in the literature Gray acknowleges that M.E. Hyams son, George McQueen Hyams, actually collected the plant., verbatimLocality: NA",35.68,-82.05,NA,NA,NA,"GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A. Gray","Shortia","galacifolia",NA,"5c9166d6-8518-481f-82e0-f6dd872fbcc7","159952e8-6d3c-49cc-a76e-4ad035ded364","PreservedSpecimen",NA,NA,4,1,"F","M. E. Hyams","United States of America",NA,"North Carolina","Locality: North Carolina Occurrence Remarks: NA Verbatim Locality: NA",35.5,-80,NA,NA,NA,"iDigBio","Shortia galacifolia"
"Shortia galacifolia","Shortia","galacifolia",NA,"d5ac3286-f052-41dd-a48b-10ba7ea6d78f","73518920-f85b-4ce4-a260-0c55a2449a19","PreservedSpecimen","1934-07-25",1934,7,25,"IND","Judson K. Underwood","United States","Macon","North Carolina","Locality: near Highlands Occurrence Remarks: past blooming period Verbatim Locality: NA",35.05,-83.2,1800,NA,"in dark woods","iDigBio","Shortia galacifolia"
"Shortia galacifolia","Shortia","galacifolia",NA,"f63a40e5-2265-453d-81a5-2da43346478e","44223b27-b5f3-44b3-8d11-1e7a445fb73f","PreservedSpecimen","2012-03-21",2012,3,21,"UNCC","Luckenbaugh, C. [Catherine]; Williams, C. [""Charlie""; Charles]; Caraway, Kim; Caraway, Diane","United States","McDowell County","North Carolina","Locality: Caraway property, Marion Occurrence Remarks: NA Verbatim Locality: NA",35.75,-82.06,NA,NA,"Plants of North Carolina McDowell County Along unnamed tributary to Tom's Creek on Caraway property, located north of Old Tom's Creek Rd., west of the intersection with U.S. Highway 221/NC Highway 226.","iDigBio","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"f7f2a959-7af6-4f6f-bc5c-303466c45b39","urn:catalog:UConn:CONN:CONN00108024","Preserved Specimen","1896-03-31",1896,3,31,"UConn",NA,"USA","Oconee","South Carolina","Locality: Whitewater Valley, Jocassee Occurrence Remarks: NA Verbatim Locality: NA",34.97,-82.94,5000,NA,NA,"iDigBio","Shortia galacifolia"
