species,lat,long,year
Asimina_obovata,28.708136,-82.079177,\N
Asimina_obovata,0,0,\N
Asimina_obovata,28.84924,-82.516378,1998
Asimina_obovata,29.067589,-81.138499,1986
Asimina_obovata,28.708136,-82.079177,\N
Asimina_obovata,29.211533,-82.059049,1974
Asimina_obovata,29.277485,-82.789848,1923
Asimina_obovata,29.469979,-81.296926,2007
Asimina_obovata,29.605267,-81.740382,\N
Asimina_obovata,29.676032,-82.35834,\N
Asimina_obovata,29.976759,-81.857936,\N
Asimina_obovata,26.954363,-81.186194,2000
Asimina_obovata,27.906325,-82.346095,1998
Asimina_obovata,28.513955,-81.322127,\N
Asimina_obovata,29.277485,-82.789848,1923
Asimina_obovata,29.976759,-81.857936,\N
Pinus_palustris,26.577579,-81.921462,\N
Pinus_palustris,26.898308,-81.954072,\N
Pinus_palustris,26.954363,-81.186194,\N
Pinus_palustris,27.190624,-81.806155,\N
Pinus_palustris,27.340557,-81.342583,2003
Pinus_palustris,27.385038,-80.889832,2000
Pinus_palustris,27.481355,-82.359737,1932
Pinus_palustris,27.493625,-81.809276,1896
Pinus_palustris,27.69784,-80.578968,2000
Pinus_palustris,27.902616,-82.738949,\N
Pinus_palustris,27.906325,-82.346095,\N
Pinus_palustris,27.959784,-81.70007,\N
Pinus_palustris,28.058084,-81.146851,\N
Pinus_palustris,28.1,-82.3,1994
Pinus_australis,28.300958,-82.43857,\N
Pinus_australis,28.513955,-81.322127,\N
Pinus_australis,28.553015,-82.468232,\N
Pinus_australis,28.708136,-82.079177,\N
Pinus_australis,28.708658,-81.2271,\N
Pinus_australis,28,-81,\N
Pinus_australis,28.765579,-82.516378,\N
Pinus_australis,29.067589,-81.138499,2000
Pinus_australis,29.211533,-82.059049,2000
Pinus_australis,29.277485,-82.789848,2000
Pinus_australis,29.469979,-81.296926,2000
Pinus_australis,29.585858,-83.193638,2000
Pinus_australis,29.605267,-81.740382,2000
Pinus_australis,29.676032,-82.35834,1965
Pinus_australis,29.734195,-82.802705,\N
Pinus_australis,29.801578,-84.816733,\N
Pinus_australis,29.900149,-85.242231,\N
Pinus_australis,29.907781,-81.406762,\N
Pinus_australis,29.949503,-82.168177,\N
Pinus_australis,29.976759,-81.857936,\N
Pinus_australis,29.988319,-83.179529,\N
Pinus_australis,30.018776,-83.615892,\N
Pinus_australis,30.042652,-82.374033,\N
Pinus_australis,30.152673,-84.381252,1955
Pinus_australis,0,-82.993463,1923
Pinus_australis,30.225177,-82.625028,1901
Pinus_australis,30.232796,-84.886906,2014
Pinus_australis,30.236006,-85.632422,2000
Pinus_australis,30.323793,-82.273806,2000
Pinus_australis,30.33415,-81.648509,\N
Pinus_australis,30.41018,-85.197404,\N
Pinus_australis,30.420936,-83.896458,\N
Pinus_australis,30.451966,-83.467226,\N
Pinus_australis,30.4569,-84.279084,\N
Pinus_australis,30.491675,-82.948911,\N
Pinus_australis,30.502,-85.017,1999
Pinus_australis,30.581582,-84.612367,\N
Pinus_australis,30.60728,-87.332598,\N
Pinus_australis,30.610692,-81.767656,\N
Pinus_australis,30.613161,-85.670694,\N
Pinus_australis,30.614519,-86.170814,\N
Pinus_australis,30.668312,-86.593016,\N
Pinus_australis,30.696031,-87.01638,\N
Pinus_australis,30.797108,-85.212767,\N
Pinus_australis,30.86745,-85.812332,\N
Pinus_australis,29.605267,-81.740382,2000
Pinus_australis,29.676032,-82.35834,1965
Pinus_australis,29.734195,-82.802705,\N
Pinus_australis,29.801578,-84.816733,\N
Pinus_australis,30.018776,0,\N
Pinus_australis,30.581582,-84.612367,\N
Pinus_australis,30.797108,-85.212767,\N
Pinus_australis,30.86745,-85.812332,\N
Pinus_australis,19.734195,-82.802705,\N
Pinus_australis,19.801578,-84.816733,\N
Pinus_australis,19.900149,-85.242231,\N
Pinus_australis,19.907781,-81.406762,\N
Pinus_australis,18.949503,-82.168177,\N
Pinus_australis,19.976759,-81.857936,\N
Pinus_australis,19.988319,-83.179529,\N
